Вопрос решен	Вопрос не решен 	Нравится качество выполнения заявки	Нравится качество работы сотрудников	Нравится скорость отработки заявок	Понравилось выполнение заявки	Unnamed: 6	Unnamed: 7	Unnamed: 8
			Здравствуйте! Большое спасибо дежурному диспетчеру-перезвонил в течение 5 минут от подачи заявки. Благодарю за сотрудничество! С уважением, Ю. П. 					
		Четко и понятно, спасибо						
			Спасибо, оператор умничка					
				быстро 				
			Спасибо большое. Проблему мастер решил быстро и качественно ??!!!					
			Спасибо, Валерию! Все исправил, теперь дома тишина и спокойствие??					
		Лифт работает,,спасибо.						
		Спасибо , оперативно и качественно 						
		специалисты приехали быстро, спустили грузовой застрявший лифт на 1 этаж, освободили человека. большое спасибо 						
					отлично 			
					 большое спасибо! 			
				Все, решили оперативно 				
				спасибо большое за оперативность ??				
		Работы непосредственно по замене сливной фурнитуры ванны выполнены быстро и качественно. А вот согласование работ - процесс бесконечный, к сожалению и не в пользу собственника. Хорошо, что удалось достичь консенсуса. 						
					Оперативно! Спасибо 			
		Устранили быстро. Хотелось бы заметить в целом недостатки крепления как в проектировании, когда в металлическую дверь доводчики крепятся обычными саморезами. По кол-ву дырок от старых мест видно, что сама по себе методика крепления не продумана. Саморез в металл - слабо живущее решение, с недолгим жизненным циклом.						
				очень быстро ответили				
			Мастер достаточно быстро решил наш вопрос. Надо было повернуть направление регулятора температуры на батарее отопления в другую сторону. После выполнения работы аккуратно все протер,что приятно. Большое спасибо! 					
		Все оперативно и качественно!						
		Все было сделано быстро и профессионально 						
			Хороший сотрудник. Приятно общаться и получать ответы на все вопросы. 					
			Мастер своего дела !					
				Очень быстро! Оперативно ответили! Спасибо!!!				
					Супер!!!			
				Спасибо мастерам за оперативность !!! 				
			Спасибо за работу ?? 					
				Спасибо что быстро ответили??				
		спасибо большое вам за качественную работу.						
		Спасибо Вам за понимание ??						
				Оперативно. Спасибо				
					всё отлично			
			Очень приятный инженер 					
		Благодарю за починку лифта! Работает!						
				оперативно сделали, спасибо				
				Быстро и четко)спасибо				
		Спасибо большое за уборку!						
		молодцы, даже нашли время проконсультировать						
			Молодцы  большое спасибо Оксана!					
				спасибо. быстро и качественно 				
					супер! спасибо			
		супер, теперь кнопка светится						
				очень оперативно! спасибо огромное! 				
		Пришли,, окна подкрутили. Быстро. 						
		спасибо что поставили, теперь ждем отопления чтоб понять работает или нет. 						
			спасибо Вам за работу 					
				быстро, для подъезда вполне хорошо)				
		Спасибо. Все понятно и благодушно разъяснили.						
		Быстро устранили????						
				Мастер все сделал быстро. Все отлично, работой довольна				
		Спасибо за оперативную обратную связь ??						
		спасибо за грамотного специалиста! 						
			отличный специалист Максим Луговой					
					Большое спасибо, всё сделали			
			Отличная работа! очень профессиональный и вежливый сотрудник!					
				спасибо оперативно!! 				
				быстро сработали, позвонили, сказали, что все хорошо ,ложная тревога 				
				быстро и оперативно демонтировали замок				
				Спасибо за оперативную работу !!!				
				Оперативно, благодарю!				
			Большое спасибо сантехнику! 					
			супер-быстро помогли. по телефону помогли все решить. отлично!					
		Лифт снова работает. Заявку исполнили очень быстро						
				Быстро и четко!!!				
			Если бы не сотрудник УК Никита - уборщицы бы никогда нормально не помыли нам этаж					
				Проблема устранена, достаточно оперативно 				
			Спасибо сотруднику ук Никита, благодаря ему нам нормально  помыли  этаж, спасибо большое					
			Вопросов нет, молодцы. Супер оперативно 					
		всё прошло отлично, заранее позвонил предупредил о приходе, сделал всё быстро, вежливый, разулся хотя я говорил что не нужно у нас пыльно. Спасибо.						
					Благодарю от имени деток и их родителей!			
					Отлично, спасибо большое 			
					Спасибо большое!)			
					Благодарю.			
				Оперативно мастер подошёл. Все неполадки устранены. Мастер - тактичный молодой человек. Спасибо! 				
Исправлено 								
				Благодарю за оперативность ))Хорошего дня)				
					Большое спасибо??			
				Оперативно решили вопрос, спасибо.				
			Замечательный мастер 					
				Скорость супер 				
				Быстро проучила				
			Роман и его коллега СУПЕР специалисты ????????????					
			Спасибо большое Мария?? ??					
		Огромное спасибо, за помощь и проделанную Вами работу!						
					Молодцы			
			Большое спасибо Ольге - очень помогла и ответила на все вопросы ??????					
		выполнена отлично!						
				Спасибо за быстрое реагирование заявки 				
		все работает,спасибо						
				супербыстро. спасибо				
			Огромное спасибо сантехнику Геннадию за качественно оказанную услугу и профессионализм. Приятно иметь дело с такими людьми.					
Спасибо! Вопрос решен в сжатые сроки и была предоставлена обратная связь.								
			электрик снял показания. будем ждать ответ					
				спасибо, оперативно				
		Спасибо за проверку, за обратный звонок и разъяснение 						
		спасибо, но можно убирать регулярно и  без заявок						
				Быстро! Оперативно				
					Спасибо большое!!!			
Оперативно решила проблему)								
				Всё быстро и оперативно!				
					Спасибо большое, всё отлично??			
				Все быстро и в срок. Спасибо 				
			очень добрая женщина					
					Спасибо Вам большое ??			
		"небольшая неточность в консультации- нужно набрать код от домофона и нажать ""колокольчик"" на панели, иначе в домашний подъезд не пропускают "						
			Супер специалисты					
		Все на высшем уровне!						
					Отлично !			
				Выполнено быстро, но хотелось бы, чтобы этого не происходило.				
				все оперативно, быстро, спасибо! 				
				Очень оперативно!				
				Спасибо. На удивление, вопрос был решён быстро и оперативно. 				
				Решил ситуацию быстро, спасибо.				
			Андрей всё сделал хорошо 					
				Спасибо, очень оперативно!				
					Хорошо 			
				спасибо за оперативность!				
		да, спасибо,теперь лифт заработал						
			Специалист прекрасно выполнил работу! Благодарна за отзывчивость. Больше бы таких сотрудников.					
					супер			
"спасибо """								
				быстро решили проблему				
Очень оперативно решили проблему								
					Все хорошо, спасибо 			
		Добрый день. Работы исполнены. Благодарю.						
			Спасибо Татьяне, всю информацию обновили					
					спасибо.			
				спасибо за оперативность!!				
			Очень подробно, большое спасибо за консультацию! 					
			Огромное спасибо Сергею					
		отзывчивые, приятные, готовы были сразу оформить акт, но ещё раз проверили сушилку, и обнаружили, сто есть кнопка включения						
			Спасибо что в нашей УК есть такие специалисты.					
"Причина отсутствия электричества была найдена сразу и быстро устранена."""								
					Большое спасибо за роботу.			
			Прекрасно выполненная работа. Получил ценную рекомендацию на будущее. Спасибо!					
				быстро отключили пожарную вытяжку				
					Потрясающе ?? 			
				Сделали все быстро и качественно 				
			Быстро приехал мастер , составили акт . 					
			Спасибо, Татьяна!!					
				супер мега оперативно, спасибо !)				
			отличный мастер!					
"большое спасибо за помощь!"""								
				Благодарим за оперативность и понимание				
		Спасибо большое за оперативность и качество!?		Спасибо большое за оперативность и качество!?				
спасибо		 что решили свою проблему	 а то как то не очень	 платишь вовремя	 а тебе про долг пишут. 			
		разобрались, спасибо 						
					Спасибо ??			
			Мастер быстро пришёл, быстро понял в чем проблема и быстро устранил её, в общем всё отлично, спасибо 					
		Работа выполнена на отлично! Быстро и качественно! Спасибо большое! 						
					спасибо. молодцы!			
Спасибо за быстрое и качественное решение вопроса 								
			Все отлично! Специалист пришёл через 30 минут после заявки. Все оперативно починил. 					
				оперативно 				
		спасибо огромное. но уборка лифта это временное решение проблеммы. потому что в них гадят систематически. просьба выявить и наказать нарушителей						
			Мастер - Самый Лучший! Спасибо Вам Огромное за таких сотрудников!!!! 					
				оперативно отреагировали на заявку, и устранили.				
			Доброго дня! Спасибо за таких Прекрасных Сотрудников! 					
				Спасибо за оперативность. После укладки плитки остались незаделанные швы на стыке. Для сравнения на 1 этаже в холле швы ровно закрыты. Просьба завершить работу до конца. 				
				Очень быстро				
					Спасибо. Отлично.			
заявка выполнена. 								
			мастер пришёл быстро. Все быстро сделал. 					
		Огромнейшее спасибо.						
Максимально быстро и качественно!!!								
Просто сотрудник месяца 								
			Огромнейшее спасибо.					
				Вот это скорость ????				
"Спасибо! """								
			Шикарный специалист. Спасибо за отличную работу и скорость					
			Ребята молодцы!					
		Спасибо за обратную связь!						
				оперативно				
				спасибо! оперативно ??				
		Оперативно и качественно 		Оперативно и качественно 				
		Остановили течь, дали рекомендации что делать дальше. Большое спасибо! 						
				оперативно и вежливо. такого нет в москве				
				Спасибо за оперативность. Но я так и не поняла. Почему редукторы нам поставили плохие, когда всем меняли?				
			Спасибо большое. Сантехник быстро устранил засор. 					
				Огромное спасибо за оперативность ??				
				приехали быстро , всё сделали чётко. благодарю 				
		вода стала теплее						
			Спасибо большое мастеру, все быстро  сделал 					
		Спасибо за быструю и качественную работу.		Спасибо за быструю и качественную работу.				
				Спасибо за оперативность !!!				
			Всё подробно показали и объяснили, спасибо!)					
				Спасибо за оперативность ??				
		Спасибо за разъяснения!						
			Сантехник объяснил причину проблемы, что для хорошего напора воды нужно менять на смеситель с 40 картриджем, теперь понятно! Спасибо! 					
				Быстро четко 				
					 ??????			
				Огромное спасибо за оперативность!				
			Отличный мастер, решил профессионально вопрос. Большое спасибо!!!					
			спасибо вам большое, консультанты помогли с решением проблем, объяснили все очень доступно! спасибо вам огромное ??					
		спасибо большое! теперь не скрипят 						
				Все очень оперативно 				
Проблема решена		 ручки на окна поставили.						
					Благодарю за проделанную работу! 			
		Спасибо, всё чётко.						
		профессионально, быстро. очень приятный мастер						
					спасибо за  быстрый ответ! 			
		Кнопки все вываливаются						
		БУДЕМ ВЕРИТЬ,ЧТО ДЕЙСТВИТЕЛЬНО ТРАВИЛИ						
				быстро прислали код.				
"единственное что смущает  коды легкие слишком."""								
					благодарю			
				спасибо! быстро и оперативно закрепили светильник. ??				
все быстро решили. спасибо								
оперативное решение вопроса		спасибо						
				благодарю за оперативное предоставление информации!				
				всё прекрасно и оперативно, но акт хотелось бы получить				
					все отлично, большое спасибо!			
				спасибо за оперативность! супер!				
		быстро, качественно		быстро, качественно				
				оперативно!				
				спасибо за быстрый ответ. все понятно объяснили				
				молниеносно)				
					??????			
				спасибо за оперативность !!				
				большое спасибо за оперативный ответ				
			все отлично! сантехник оперативно пришел, при мне все устранил! видно, что спец в своем деле!					
		оперативно, профессионально. все устранено!!! спасибо!						
				большое спасибо! очень оперативно!				
			мастер молодец ??					
					большое спасибо!!!!			
			добросовестный мастер виктор					
		спасибо за консультацию						
		к сожалению протечка все равно есть небольшая, нужно менять гайку						
	батарея опять остыла ((							
				спасибо большое за оперативность!				
					всё отлично, сделали в тот де день. спасибо			
	не понимаю как можно отрапортовать что работа выполнена 	 когда как скрипела дверь и хлопала так и все осталось без изменений.						
				спасибо за быстрый ответ!				
		благадарю вас за оказанную услугу.						
			спасибо , антону, за грамотность в своей работе!					
	вопрос не решен!							
				большое спасибо за оперативный ответ!				
				благодарю за оперативность!				
				спасибо дмитрию. пришел оперативно. 				
"все сделал."""								
			отличный мастер.					
					спасибо!)			
				быстро ????				
					спасибо ??			
					спасибо ????			
				спасибо за оперативное решение заявки!				
				быстро и четко				
	здравствуйте мне нужны подтверждения оплаты а не квитанции. пришлите пожалуйста							
	вопрос за декабрь сумма более 12 т.р из-за чего такая большая разница?							
				быстро со слов сантехника все сделали				
			мастер пришел быстро. пломбу тоже поставил быстро. спасибо					
	по самой консультации вопросов нет. а вот то	" что при обновлении приложения ""слетают"" настройки - нехорошо"						
	а как мне получить схемы от застройщика? я боюсь повредить проводку розеток и выключателей при монтаже							
					спасибо за консультацию			
					спасибо!!!			
		оперативно пришли, выполнили осмотр, составили акт! на все интересующие вопросы ответили. благодарю!						
				все хорошо и быстро.				
		мастер молодец . быстро и все качественно сделал						
				оперативно восстановили элетроэнергию.				
				довольно быстро ликвидировали отсутствие электричества.				
			отличный мастер					
			вежливый специалист					
			кирилл, спасибо! позвонили, разъяснили, что нет таких ограничении у нас.					
				оперативно ??				
					большое спасибо			
ответ на вопрос предоставлен.								
			сантехник валерий объяснил все по телефону. пока проблем нет.					
				быстро и оперативно. спасибо!				
			спасибо данному сотруднику!!!!!					
	звонки не поступают при звонке							
				спасибо за быстроту				
			специалист оперативно устранил поломку! очень доволен и благодарим за оперативность). специалисту выписать премию)					
				быстро отреагировали, достаточно быстро устранили течь. вечером сантехник ещё раз пришёл удостовериться, что все в порядке. спасибо				
		да, спасибо! дверь починили.						
		спасибо. счетчик заработал						
		отличная работа! быстро, качественно, аккуратно. спасибо большое)		отличная работа! быстро, качественно, аккуратно. спасибо большое)				
				спасибо, быстро и оперативно!!!				
	счёт на 500 р все ещё в личном кабинете							
				спасибо за оперативность! все настроено				
	вчера мне сказали несколько диспетчеров что заявки не было о протечке с моего жк							
				всё оперативно исправили. молодцы.				
				прильи быстро, спасибо				
				спасибо большое ! оперативно помогли решить вопрос .				
				оперативно решили вопрос.				
					ок. спасибо			
			хороший мужчина консультировал					
					очень удобно			
					спасибо большое ??. с уважением евгений!)			
			сантехники приехали оперативно и устранили протечку в смесителе.  спасибо!					
					спасибо вам			
			специалист отличный, вежливый и быстро сделал, я очень довольна.					
				оперативно, спасибо!				
		все работает как надо! спасибо!						
				быстро решили проблему , электрики пришли почти сразу после заявки , спасибо, большое				
			здравствуйте! спасибо огромное специалистам за быстрый ответ и решение нашей проблемы!					
			спасибо мастеру, все быстро сделал					
				оперативно и быстро! супер всегда бы так				
					молодцы спасибо			
		устное разрешение на установку кодового замка получено.после установки сообщим код в управляющую компанию.спасибо						
	детализация предоставлена с 06.2024 была закащана с 01.2024. просьба выдать на все месяцы 2024 года							
				спасибо за оперативность)				
	слишком часто ломаются лифты!							
	слишком часто ломаются лифты							
					все замечательно			
					спасибо большое за помощь в решении вопроса.			
		на этот раз быстро отключили, спасибо!						
				спасибо за оперативный ответ				
				оценка за оперативность — отлично, за уборку — хорошо. спасибо!				
					????????????????????????			
				благодарю за оперативность.				
	приходила в ук мне сказали за деньги купить себе новый ключ	 на каком основании? выдали не рабочие и теперь платя 2500 за домофон я ещё и ключи должна покупать	 соседям дали бесплатно					
					спасибо большое!!!!			
				оперативно!спасибо!				
		огромное спасибо! вопрос был решен быстро! специалист профессионал в своем деле!						
починили								
спасибо		 что быстро отреагировали. проблема решена.						
				спасибо большое				
"оперативно"""								
		приятно удивлена. вопрос решился менее чем за сутки! спасибо, так красиво теперь и ничего не отравляет воздух и не портит вид!!						
					все прекрасно спасибо			
				спасибо, всё быстро устранено				
			здорово что подсказали, не за что бы сам не догадался.					
				спасибо за оперативность.				
			спасибо куприянову и.и.!!!					
					большое спасибо!!			
			спасибо большое что есть специалисты в ук которым небезразлично!! спасибо куприянову и.и.					
		сами устранили						
				быстро исправили причину шума щитка. спасибо за оперативность				
		спасибо большое за разъяснения,теперь все ясно и понятно.						
				оперативно отреагировали быстро сделали спасибо				
спасибо		скажите пожалуйста	на андроид откуда можно скачать данное приложение? не получается	пишет	что не поддерживается			
					молодцы			
				спасибо за скорость работы ??				
стулья привезли		 а зеркало нет.						
			сантехник пришёл всё сделал					
			спасибо! александр все оперативно выполнил. очень внимательно и уважительно исполнил заказ.					
					отлично!			
					супер!			
		спасибо, жду перерасчет .						
				очень оперативно решили вопрос, спасибо!				
				оперативно )				
					красавчеги!			
					спасибо! все устранено!			
				пришли очень оперативно !				
мы сами устранили								
			отличный аккуратный специалист.					
		всё было сделано быстро и качественно, огромное спасибо мастеру		всё было сделано быстро и качественно, огромное спасибо мастеру				
			супер мастер					
					мерси!			
				оперативно! спасибо!				
спасибо большое за решение вопроса.								
					спасибо, всё исправили			
					спасибо! все поняла			
жаль не с первого раза		 звонков 8						
					отлично			
просьба очищать своевременн		 не дожидаясь заявок						
	мастер отключил колонку оповещения от сети	 пищать перестала 	 но и оповещать не будет					
нашли причину								
				оперативно, удобно!				
					все отлично! выявили проблему.			
				спасибо большое!!! всё очень оперативно! приятно, когда нас слышат и понимают. всего доброго!				
	всю ночь стоят палеты и стеллажи у подъезда							
					хорошо			
ответа на вопрос нет								
					благодарю вас			
			сантехник пришел в день об обращения, вопрос решен на месте, спасибо за оперативность.					
				быстро! спасибо!				
				оперативно заменили и опломбировали, спасибо!				
					классно			
				ремонтные работы по данной заявке выполнены в полном объеме и в кратчайшие сроки.				
				всё сделали хорошо и быстро.				
	мне нужно присутствовать при съеме контрольных показаний? счетчики все в коридоре. возможно вызов в выход дни?							
				быстро и оперативно помогли решить вопрос!				
					большое спасибо!			
				спасибо, быстро освободили				
			электрик смог настроить свет в коридоре удаленно. с помощью отключения электричества в квартире. правда, после этого снова отвалился интернет и снова в пятницу придет монтажник настраивать роутер. а после прошлого посещения монтажника свет в коридоре и закончился...					
					спасибо !			
тяп-ляп		 ну ладно	 тут везде так					
		спасибо, вижу счетчики в приложении						
			сергей настоящий профи! все четко и по делу, очень рада, что именно ему досталась наша заявка, спасибо!					
			очень вежливый, контактный мастер. только положительные впечатления от подхода к работе и ее выполнению.					
	а кто заявку подавал? я не подвала. или это автоматически							
			профессионал. все решили.					
			спасибо мастеру за работу					
			сантехник андрей качественно выполнил свою работу.					
				быстрое решение. спасибо руслану				
					всё отлично, решили всё)			
	не вписан ещё один человек							
				спасибо, за быстрое решение				
					спасибо большое за помощь			
					спасибо большое ????????			
	очень часто ломается.							
				спасибо, очень быстро решили вопрос по заявке!				
	где можно посмотреть прайс на услуги ваших электриков? что за инкогнито цены	 которые мне потом озвучивают?						
	надо что то делать	 родители говорят что больше не придут в гости	 потому что лифт постоянно не работает!					
	ну надо что то делать... как быть дальше	 если постоянно лифт выходит из строя!						
	давайте уде чинить грузовой лифт	 его про отключили и не чинят	 очередь га лифт. и пассажирский лифт ломается раз в два дня..... делайте уже что нибудь	  .  ...... ......				
					все ок			
					супер спасибо			
				быстро отреагировали!				
		сняла одну звезду за молчаливое закрытие заявки. 						
	а так	 действительно	 пришла домой	" свет уже был."""				
	не отображаются счета на оплату							
				большое спасибо, все починили очень оперативно!				
					все отлично спасибо			
				очень оперативно.				
			благодарю ростислава, быстро и качественно заменил резинку манжету в стиральной машине.					
			прекрасный мастер. все оперативно решил, благодарю !					
				спасибо за быстрое реагирование				
здравствуйте		 когда будет видна оплата? платили по реквизитам						
				спасибо за оперативность за быструю обратную связь				
	сегодня после обеда буду по данному адрпесу прошу электрика связаться со мной							
				быстро, оперативно, сотрудник прибыл как по таймеру. спасибо!				
долго ехали		 сигнализация орала несколько часов. невозможно нормально работать и жить	 когда под ухом без перерыва несколько часов голосит сигнализация					
				благодарю! вопрос был оперативно решен				
		оперативно и качественно!		оперативно и качественно!				
					все четко сделал,			
		доводчик заменили в тот же день, спасибо.						
		быстро и качественно		быстро и качественно				
счет оплачен ! квитанция выслана  вам в чате								
				оперативно все исправили.				
			спасибо мастеру, починил всё быстро и профессионально,  поставил новый доводчик. дверь теперь закрывается, теплопотерь нет.					
				спасибо за оперативный ответ!				
		спасибо большое что услышали, убрали возле 38/1 мусор.теперь хоть рядом с банками бросать не будут люди мусор!						
					спасибо??			
				за оперативность, спасибо большое				
					огромное спасибо, специалистам!			
			электрик все отлично объяснил и помог устранить проблему. очень профессионально. молодец.					
		хоть фото не этого места, но подтверждаю что работа выполнена и главное выполнена оперативно.						
было бы удобнее		 если сразу дали ссылку или название раздела	 где эту заявку оформить. потому что в приложении очень неудобно искать	 где подать эту заявку. чёрт ногу сломит				
		спасибо! оперативно получены по электронной почте.						
				благодарю за быстрый ответ				
				большое спасибо за оперативную работу!!!				
моя ошибка								
				оперативно, большое спасибо				
	зеркало не было подключено к проводке пои замене в прошлом году	 что теперь делать не известно? заведу новую заявку на замену зеркала						
				очень оперативно, спасибо большое!				
	прошу  перенести урну от подъезда	 чтобы у людей не было собоазна поставить туда свой бытовой мусор						
			электрик справился с проблемой за 5минут молодец					
				очень оперативно решили проблему и восстановили освещение в холле.				
				большое спасибо быстро исправили				
		лифт работает						
				большое спасибо очень быстро исправили				
ответ получен на один вопрос из двух. второй вопрос просто проигнорирован								
			замечательный сантехник , который правда помогает,очень приятный и воспитанный мужчина					
					больше спасибо!			
"всё работает."""								
	ничего не выполнено!							
			спасибо большое электрику ??					
		сделанно не аккуратно.торчат резинки .						
		подача тепла возобновилась в короткие сроки						
				благодарю за оперативность проведённой работы!				
		прогресс						
				оперативно проведена консультация и проблема была устранена. огромное спасибо.				
				спасибо большое. оперативно устранили течь по стояку в ванной.				
сумма		 которую я должна заплатить за коммунальные услуги сохранилась (34 384	14 рублей). когда данная сумма уменьшится на перенесенную (7 413	53 рублей)и				
	какой акт выполненных работ мы должны предоставить?ремонт делали сами....							
					спасибо вам огромное!!!!			
я звонила и сообщила		 что мне нужен перерасчет	 так как в декабре прошло 3 оплаты на сумму больше 30000	  3 оплаты				
				спасибо за оперативность ??				
спасибо		 за быструю реакцию и решение проблемы			спасибо, за быструю реакцию и решение проблемы			
				быстро отреагировали, спасибо				
					спасибо огромное!			
	а можно фото акта скинуть ?							
			спасибо валерию. все сделал хорошо. 					
	маленький минус	 что долго шли. 						
	была бы течь более сильной	 то за 2	5 часа ... 					
	но я думаю	 что это проблема обработки заявки. ему не сразу передали! примите во внимание. плохо	" что нет прямого аварийного телефона непосредственно в живи в рыбацком. звонишь через десятые руки..."""					
		отлично! так бы по всем сервисам исполнялось бы. чётко и быстро.		отлично! так бы по всем сервисам исполнялось бы. чётко и быстро.				
			очень отзывчивый, профи своего дела!!					
		очень удобный сервис, но пока ещё выясняем						
за ноябрь оплата была		 куда могу выслать подтверждающие документы ?						
			спасибо, игорь!					
					спасибо большое, все сделали отлично!			
				супер быстро				
		всё убрали, спасибо						
		качественно,быстро						
				установили быстро и хорошо). спасибо.				
					все отлично, спасибо			
				спасибо что так быстро починили дверь				
			очень понравилась работа игоря.					
				отлично!!!! быстро отреагировали. всё работает!!!!!!				
		сделано, спасибо						
заявка не выполнена		 грязи на дороге еще больше						
			электрик молодец!					
			спасибо технику дмитрию за помощь!					
			выражаю огромную благодарность мастеру -электрику за проделанную работу. профессионал своего дела, щепетильно проверил все возможные варианты неполадок, нашел и устранил причину замыкания. еще раз большое спасибо!					
					молодцы!??			
отрегулировали оперативно		 вопрос решён. но очень дорого	 когда регулировка равна половине стоимости регулятора давления воды.			отрегулировали оперативно, вопрос решён. но очень дорого, когда регулировка равна половине стоимости регулятора давления воды.		
				спасибо за оперативность. сотрудник устранил проблему.				
		спасибо. значит с гулом в трубах, можно бороться. действительно стало тихо. если проблема возникнет опять будет много заявок.						
			потрясающий сантехник! спасибо ??					
					отлично, спасибо.			
					все отлично, спасибо!			
				спасибо оперативно починили ??				
					спасибо, все работало до вчерашнего дня			
					спасибо, вы прекрасны!			
					cспасибо!			
			спасибо инженеру быстро и оперативно работает. хоть кто-то в этой компании ответственный человек.					
	в личном кабинете так  указан  не верный счетчик с неверными показаниями.							
			выдайте александру премию!					
				большое спасибо.. оперативно подкл  электричество !				
					молодцы. спасибо!			
	может ли быть причиной срабатывания пожарной сигнализации курение в квартире? регулярно слышу запах сигарет	 который проникает в квартиру по вентиляции						
			спасибо, игорь					
				супер оперативно, спасибо)				
				все отлично, оперативно, спасибо.				
				откликнулись быстро оперативно				
					теперь всё в норме!))??			
				спасибо за оперативное реагирование				
				спасибо,что стараетесь исправить быстро)))но увы…				
		устранено, спасибо!						
		благодарю, что наконец то устранили проблему.						
				пришли очень быстро!				
				спасибо! ответ был предоставлен оперативно ??				
работа выполнена быстро		 проблема решена			работа выполнена быстро, проблема решена			
	общий корридор на площадке 3 этажа не убран.есть камера видеонаблюдения							
					спасибо за исправление			
				быстро оформили заявку, быстро пришли сантехники				
			огромное спасибо , мастеру за профессионализм					
				быстро выполнили заявку				
				очень быстро, очень приятные люди.				
					все отлично  ??			
				отреагировали быстро и устранили неисправность				
фасад очистили		 а виновника искать не стали						
			очень благодарна, компетентному сотруднику и грамотному разъяснению моего вопроса!					
					все исправили. спасибо			
				спасибо, все четко и быстро!!!				
				отзывчивые девочки!решили проблему быстро!очень довольна!				
				огромное спасибо, за молниеносное решение проблемы.				
	пломбы сорваны	 шкафы на распашку	 в прошлый раз шланги украли					
ольга		 когда парковку достроят?						
			девочки просто молодцы!!!)))					
				очень оперативно. спасибо!				
				?????? живу тут не долго но пока что вы лучшая ук, спасибо за быстрое регирование на проблемы, хорошего дня				
					ребята молодцы, спасибо огромное , все устранили ??			
	проблема повторяется очень часто. вопрос не решается	 не устраняется причина остановки лифтов практически каждый день. ездить в лифте небезопасно						
		спасибо, что устранили течь! было бы ещё приятней, если бы не пришлось ругаться (особенно с сантехником )и ждать сутки пока отключат воду и начнут что-то предпринимать.						
			выяснили причину , пришел отличный мастер , сделал все за 2 минуты ??					
				много времени прошло с момента обращения				
			отличный мастер на 10 с плюсом					
супруга с ребенком к соседям зашли		так как света не было. спасибо						
				спасибо. оперативно				
		все починили						
					все ясно ??			
					все понятно			
			пришел очень хороший мужчина , все объяснил как нужно сделать .					
перевели окна на зимний режим. дуть стало немного меньше		 но не перестало. составили акт	 сказали	 что передадут застройщику				
				да выполнена. благодарю за оперативность ??				
			здравствуйте, была услышана специалистом, проблема решена в теч. 1-ой минуты, срасибо					
			очень профессиональный компетентный сотрудник! вежливый и грамотный, помог решить все вопросы по заявке!					
	в квартире никто не проживает	 счётчик электроэнергии в квартире отключён	 сам нахожусь в другом регионе	 возможности разобраться с утречком электроэнергии нет! просьба подробнее помочь разобраться в решении проблемы!				
	со мной никто не связался и никто не снял показания							
				все быстро исправили				
	никто не приходил							
			спасибо большое специалистам.					
			отличный мастер, благодарю за выполненную работу!					
			очень хороший мастер, знает свое дело					
				отлично, быстро				
			отличный мастер,приехал быстро????					
					все супер ,спасибо -))))			
				быстро всё починили.спасибо.				
				благодарю за оперативное выполнение заявки. я приятно удивлён. с момента подачи заявки, до выхода мастера прошло менее 40 минут точка так держать спасибо				
		спасибо, все быстро и качественно		спасибо, все быстро и качественно				
			мастер пришел,установил доводчик,был доброжелателен. спасибо !!!					
				оперативное решение вопроса.				
		выполнил работу на совесть, надеюсь, проблем дальше не возникнет.						
			мастер очень быстро пришел и включил электричество ????					
			все отлично, татьяне большое спасибо, оперативно помогла решить проблему					
	проблема пока не решена. рано оценивать							
			сергей самый адекватный сантехник нашего жк! спасибо!					
				спасибо! очень быстро! :)				
	жду справку об отсутствии задолженности. показания счётчиков передала							
					всё замечательно			
				отлично и быстро				
				быстро! качественно! спасибо!				
					спасибо большое. все супер			
		валерия куликова						
добрый день		 павел артемович						
лишние счётчики из приложения убрали. показания по фото внесли.								
если данные неверных счётчиков снова отобразятся		 просим вас создать новую заявку	 направим в службу поддержки.					
20:29								
	"опять отображаются лишние счётчики!"""							
			спасибо елена!					
			огромное спасибо антону за проделанную работу. все четко, аккуратно! выпишите сотруднику премию за ответственное отношение к работе!					
					спасибо всё поняла.			
					ок??			
	не понимаю вас. не оплачивать коммунальные? при чем тут собственник? я мама	 лплачиваю счета сына и свои. как возможно в этот личный кабинет подключить квартиру 97 садовая 85? это необходимо для оплаты счетов только.  фамилии разные у нас. каким образом получать счета?						
					умница !!!			
			спасибо большое ребятам сделали все хорошо посмотрим как будет в дальнейшем вести себя труба а так все отлично					
		быстро и качественно спасибо большое		быстро и качественно спасибо большое				
			очень хороший сотрудник. помогла установить приложение ключ, объяснили как работает приложение, сделали три ключа. доброжелательное отношение, всё оперативно.					
здравствуйте		 забыли о править водоснобжение						
				спасибо большое.  очень оперативно решили вопрос.				
		вода течет горячая! спасибо!						
					благодарю вас!!!! спасибо			
		спасибо , все работает. жаль, что медленно отрабатываются платные заявки ??						
					отлично.			
	мне нужна информация именно на эту сумму	то что задолженность нет знаю						
				спасибо за оперативность??				
		устранили, но некачественно. сказано было, что сама розетка мешается панелями, но ни о какой замене речи и не шло						
		добрый день! спасибо! надеюсь конусы не так легко будет сдвинуть как сферы						
только через заявки решается вопрос		 батареи стали горячие.						
				большое спасибо! оперативно решили проблему				
			шикарный сантехник. спасибо! через 10 мин после заявки пришел,сразу понял причину ,устранил свою зону ответственности-объяснил ,что мне надо сделать самой.					
			сантехники отреагировали быстро, на данный момент все устранили					
!!!								
				молодцы, быстро				
				выражаю огромную благодарность за оперативность, понимание и возможность решить этот вопрос дистанционным путём!				
